feature,or,ci_lower,ci_upper,p_value,adjusted_p_value
Attention to colostomy,0.159,0.049,0.521,0.002,0.01011451398135819
"Peripheral T-cell lymphoma, not classified, unspecified site",5.732,1.838,17.882,0.003,0.014533163265306123
"Leakage of heart valve prosthesis, initial encounter",3.52,1.514,8.184,0.003,0.014533163265306123
"Allergy, unspecified, not elsewhere classified",3.504,1.515,8.1,0.003,0.014533163265306123
Polycystic ovarian syndrome,2.991,1.467,6.099,0.003,0.014533163265306123
"Other postprocedural complications and disorders of respiratory system, not elsewhere classified",2.969,1.451,6.075,0.003,0.014533163265306123
"Thoracoabdominal aneurysm, without mention of rupture",2.912,1.447,5.861,0.003,0.014533163265306123
"Contusion and laceration of cerebrum, unspecified, without loss of consciousness, initial encounter",2.84,1.434,5.624,0.003,0.014533163265306123
"Food in bronchus causing asphyxiation, initial encounter",2.581,1.383,4.815,0.003,0.014533163265306123
Other vitamin B12 deficiency anemias,1.93,1.259,2.959,0.003,0.014533163265306123
Anemia in neoplastic disease,0.757,0.63,0.91,0.003,0.014533163265306123
Unspecified dementia without behavioral disturbance,0.756,0.627,0.912,0.003,0.014533163265306123
Metabolic encephalopathy,0.714,0.573,0.889,0.003,0.014533163265306123
Malignant neoplasm of head of pancreas,0.621,0.453,0.851,0.003,0.014533163265306123
Personal history of malignant neoplasm of other parts of uterus,0.613,0.446,0.843,0.003,0.014533163265306123
"Viral intestinal infection, unspecified",0.603,0.433,0.839,0.003,0.014533163265306123
Resistance to antiviral drug(s),0.549,0.372,0.812,0.003,0.014533163265306123
Encounter for adjustment and management of automatic implantable cardiac defibrillator,0.476,0.292,0.778,0.003,0.014533163265306123
Herpes zoster without mention of complication,0.416,0.235,0.736,0.003,0.014533163265306123
Opera house as the place of occurrence of the external cause,0.383,0.205,0.714,0.003,0.014533163265306123
Trigeminal neuralgia,0.33,0.16,0.678,0.003,0.014533163265306123
Ulcer of esophagus without bleeding,0.319,0.152,0.669,0.003,0.014533163265306123
Peripheral angiopathy in diseases classified elsewhere,0.318,0.151,0.669,0.003,0.014533163265306123
"Strain of muscle and tendon of head, initial encounter",0.292,0.132,0.65,0.003,0.014533163265306123
Intracranial space-occupying lesion found on diagnostic imaging of central nervous system,0.245,0.097,0.615,0.003,0.014533163265306123
"Displaced subtrochanteric fracture of left femur, initial encounter for closed fracture",0.233,0.09,0.6,0.003,0.014533163265306123
Benign and innocent cardiac murmurs,0.21,0.073,0.598,0.003,0.014533163265306123
"Unqualified visual loss, one eye, unspecified",0.208,0.075,0.577,0.003,0.014533163265306123
Celiac artery compression syndrome,0.202,0.069,0.586,0.003,0.014533163265306123
Other hypoglycemia,0.166,0.051,0.537,0.003,0.014533163265306123
Chronic atrophic gastritis without bleeding,0.155,0.046,0.526,0.003,0.014533163265306123
"Hydrocele, unspecified",0.149,0.042,0.524,0.003,0.014533163265306123
Allergy status to other antibiotic agents status,0.14,0.039,0.502,0.003,0.014533163265306123
Mild intellectual disabilities,0.128,0.033,0.5,0.003,0.014533163265306123
Cerebral infarction due to thrombosis of other precerebral artery,6.471,1.82,23.006,0.004,0.0187324290998767
Sequelae of inflammatory diseases of central nervous system,5.322,1.7,16.662,0.004,0.0187324290998767
Dermatophytosis of other specified sites,5.001,1.665,15.023,0.004,0.0187324290998767
Intracranial and intraspinal phlebitis and thrombophlebitis,3.481,1.48,8.189,0.004,0.0187324290998767
Chronic graft-versus-host disease,2.632,1.367,5.07,0.004,0.0187324290998767
Osteitis deformans of skull,2.442,1.335,4.466,0.004,0.0187324290998767
Iatrogenic pulmonary embolism and infarction,2.274,1.292,4.003,0.004,0.0187324290998767
"Inhalant abuse, uncomplicated",1.877,1.225,2.876,0.004,0.0187324290998767
Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,1.72,1.187,2.491,0.004,0.0187324290998767
Hemorrhagic disorder due to extrinsic circulating anticoagulants,1.341,1.1,1.635,0.004,0.0187324290998767
Hypovolemia,0.825,0.723,0.942,0.004,0.0187324290998767
"Disorientation, unspecified",0.754,0.622,0.914,0.004,0.0187324290998767
Vascular parkinsonism,0.743,0.608,0.908,0.004,0.0187324290998767
Personal history of colonic polyps,0.676,0.519,0.88,0.004,0.0187324290998767
"Pruritus, unspecified",0.52,0.332,0.815,0.004,0.0187324290998767
"Intervertebral disc disorders with radiculopathy, thoracolumbar region",0.456,0.269,0.773,0.004,0.0187324290998767
Personal history of (healed) osteoporosis fracture,0.451,0.264,0.77,0.004,0.0187324290998767
Malignant neoplasm of main bronchus,0.388,0.203,0.738,0.004,0.0187324290998767
"Attention-deficit hyperactivity disorder, other type",0.362,0.179,0.729,0.004,0.0187324290998767
"Adverse effect of hydantoin derivatives, sequela",0.3,0.131,0.686,0.004,0.0187324290998767
Thalassemia minor,0.272,0.113,0.655,0.004,0.0187324290998767
Disorders of diaphragm,0.267,0.109,0.656,0.004,0.0187324290998767
Other sedatives and hypnotics causing adverse effects in therapeutic use,0.243,0.093,0.636,0.004,0.0187324290998767
"Contusion of unspecified hip, initial encounter",0.209,0.073,0.599,0.004,0.0187324290998767
Malignant poorly differentiated neuroendocrine tumors,0.2,0.067,0.597,0.004,0.0187324290998767
"Instability of internal left knee prosthesis, initial encounter",0.186,0.059,0.587,0.004,0.0187324290998767
"Need for prophylactic vaccination and inoculation against diphtheria-tetanus-pertussis, combined [DTP] [DTaP]",0.174,0.053,0.578,0.004,0.0187324290998767
Congenital quadriplegia,5.026,1.622,15.573,0.005,0.022661097852028637
"Calculus of bile duct with other cholecystitis, with obstruction",3.799,1.5,9.619,0.005,0.022661097852028637
"Other chondrocalcinosis, unspecified knee",3.654,1.479,9.027,0.005,0.022661097852028637
Unspecified disorder of stomach and duodenum,3.208,1.435,7.171,0.005,0.022661097852028637
"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A",2.887,1.384,6.022,0.005,0.022661097852028637
Necrotizing fasciitis,2.652,1.342,5.239,0.005,0.022661097852028637
Abnormal results of liver function studies,1.927,1.216,3.053,0.005,0.022661097852028637
Iatrogenic pneumothorax,1.558,1.142,2.125,0.005,0.022661097852028637
Anorexia,1.555,1.14,2.122,0.005,0.022661097852028637
Adult failure to thrive,1.309,1.087,1.577,0.005,0.022661097852028637
Abnormal coagulation profile,0.792,0.672,0.932,0.005,0.022661097852028637
Wheelchair dependence,0.68,0.519,0.891,0.005,0.022661097852028637
Snoring,0.636,0.465,0.87,0.005,0.022661097852028637
Personal history of (healed) traumatic fracture,0.539,0.349,0.831,0.005,0.022661097852028637
Raynaud's syndrome with gangrene,0.529,0.34,0.822,0.005,0.022661097852028637
Varices of other sites,0.522,0.331,0.824,0.005,0.022661097852028637
Nontraumatic hematoma of soft tissue,0.504,0.314,0.811,0.005,0.022661097852028637
"Cyst of kidney, acquired",0.463,0.27,0.793,0.005,0.022661097852028637
"Renal tubulo-interstitial disease, unspecified",0.373,0.188,0.739,0.005,0.022661097852028637
Ischemia and infarction of kidney,0.358,0.174,0.737,0.005,0.022661097852028637
"Chronic myeloid leukemia, without mention of having achieved remission",0.356,0.173,0.729,0.005,0.022661097852028637
Gottron's papules,0.308,0.136,0.695,0.005,0.022661097852028637
Edema of male genital organs,0.259,0.1,0.669,0.005,0.022661097852028637
Other acute appendicitis without perforation or gangrene,0.206,0.068,0.627,0.005,0.022661097852028637
Ureteral fistula,0.202,0.066,0.614,0.005,0.022661097852028637
Myelofibrosis,0.198,0.064,0.613,0.005,0.022661097852028637
"Displaced fracture of fifth metatarsal bone, unspecified foot, initial encounter for closed fracture",0.173,0.05,0.596,0.005,0.022661097852028637
Mood disorder due to known physiological condition with major depressive-like episode,5.011,1.586,15.831,0.006,0.026746478873239436
"Laceration of liver, unspecified degree, initial encounter",3.877,1.485,10.121,0.006,0.026746478873239436
Hidradenitis,3.162,1.386,7.214,0.006,0.026746478873239436
"Malignant neoplasm of esophagus, unspecified site",2.186,1.249,3.827,0.006,0.026746478873239436
"Infection and inflammatory reaction due to cardiac valve prosthesis, initial encounter",1.971,1.219,3.187,0.006,0.026746478873239436
Nonrheumatic aortic (valve) stenosis with insufficiency,1.172,1.047,1.312,0.006,0.026746478873239436
Solitary pulmonary nodule,0.696,0.538,0.9,0.006,0.026746478873239436
Acquired absence of other left toe(s),0.608,0.428,0.864,0.006,0.026746478873239436
Other sites of candidiasis,0.473,0.276,0.809,0.006,0.026746478873239436
Family history of other cardiovascular diseases,0.408,0.215,0.775,0.006,0.026746478873239436
Secondary malignant neoplasm of unspecified ovary,0.266,0.104,0.684,0.006,0.026746478873239436
Ulcer of anus and rectum,0.26,0.098,0.684,0.006,0.026746478873239436
Calculus of gallbladder and bile duct without cholecystitis without obstruction,0.185,0.055,0.617,0.006,0.026746478873239436
"Hemopericardium, not elsewhere classified",0.163,0.045,0.597,0.006,0.026746478873239436
Irritant contact dermatitis due to drugs in contact with skin,7.329,1.708,31.447,0.007,0.03059378596087457
"Infection with drug-resistant microorganisms, unspecified, without mention of multiple drug resistance",6.836,1.685,27.741,0.007,0.03059378596087457
Residual schizophrenia,6.002,1.623,22.188,0.007,0.03059378596087457
"Osteoarthrosis, localized, primary, ankle and foot",5.372,1.589,18.163,0.007,0.03059378596087457
"Pathological fracture in other disease, left femur, initial encounter for fracture",2.172,1.231,3.833,0.007,0.03059378596087457
Myoclonus,2.079,1.217,3.55,0.007,0.03059378596087457
Status post administration of tPA (rtPA) in a different facility within the last 24 hours prior to admission to current facility,1.807,1.172,2.787,0.007,0.03059378596087457
Unspecified speech disturbances,1.641,1.147,2.346,0.007,0.03059378596087457
Chronic combined systolic and diastolic heart failure,1.501,1.117,2.017,0.007,0.03059378596087457
Pain in unspecified upper arm,0.697,0.535,0.907,0.007,0.03059378596087457
Nummular dermatitis,0.604,0.419,0.871,0.007,0.03059378596087457
Non-pressure chronic ulcer of unspecified calf limited to breakdown of skin,0.494,0.295,0.827,0.007,0.03059378596087457
Influenza due to other identified influenza virus with other specified pneumonia,0.493,0.294,0.825,0.007,0.03059378596087457
Mixed obsessional thoughts and acts,0.288,0.117,0.711,0.007,0.03059378596087457
"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",0.288,0.116,0.71,0.007,0.03059378596087457
Abscess of intestine,0.27,0.105,0.694,0.007,0.03059378596087457
"Hemophilus influenzae infection, unspecified site",0.199,0.062,0.637,0.007,0.03059378596087457
"Malignant neoplasm of liver, not specified as primary or secondary",3.999,1.435,11.146,0.008,0.0343710407239819
"Contusion of left front wall of thorax, initial encounter",2.413,1.257,4.631,0.008,0.0343710407239819
Pneumonia due to Hemophilus influenzae,2.211,1.229,3.979,0.008,0.0343710407239819
"Body mass index (BMI) 39.0-39.9, adult",1.957,1.194,3.207,0.008,0.0343710407239819
Angiodysplasia of stomach and duodenum with bleeding,1.792,1.162,2.764,0.008,0.0343710407239819
Other accidents,1.534,1.121,2.098,0.008,0.0343710407239819
Bronchiectasis without acute exacerbation,0.625,0.441,0.887,0.008,0.0343710407239819
"Chronic kidney disease, stage 5",0.553,0.356,0.859,0.008,0.0343710407239819
"Urinary catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",0.552,0.356,0.855,0.008,0.0343710407239819
"Body Mass Index 33.0-33.9, adult",0.45,0.249,0.813,0.008,0.0343710407239819
Drug-induced autoimmune hemolytic anemia,0.373,0.179,0.774,0.008,0.0343710407239819
Intraspinal abscess and granuloma,0.358,0.167,0.766,0.008,0.0343710407239819
Unspecified erythematous condition,0.243,0.086,0.688,0.008,0.0343710407239819
Actinic keratosis,0.192,0.057,0.651,0.008,0.0343710407239819
Other vesicoureteral reflux with reflux nephropathy NOS,0.156,0.04,0.614,0.008,0.0343710407239819
"Traumatic subarachnoid hemorrhage with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",44.216,2.527,773.663,0.009,0.03739824945295405
"Injury of blood vessels of head, not elsewhere classified, initial encounter",6.913,1.61,29.681,0.009,0.03739824945295405
Antifungal antibiotics causing adverse effects in therapeutic use,4.812,1.489,15.554,0.009,0.03739824945295405
Hypersplenism,3.995,1.418,11.256,0.009,0.03739824945295405
Other specified disorders of peritoneum,2.394,1.245,4.603,0.009,0.03739824945295405
"Gastric contents in other parts of respiratory tract causing other injury, initial encounter",2.365,1.237,4.524,0.009,0.03739824945295405
Sepsis due to other specified staphylococcus,2.18,1.212,3.922,0.009,0.03739824945295405
Closed fracture of three ribs,2.054,1.193,3.537,0.009,0.03739824945295405
"Fall from other pedestrian conveyance, initial encounter",1.926,1.178,3.152,0.009,0.03739824945295405
Cyst of spleen,1.746,1.148,2.654,0.009,0.03739824945295405
"Fracture of superior rim of unspecified pubis, initial encounter for closed fracture",1.634,1.131,2.36,0.009,0.03739824945295405
Other complete intestinal obstruction,1.561,1.117,2.182,0.009,0.03739824945295405
Panlobular emphysema,1.352,1.079,1.694,0.009,0.03739824945295405
Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site,1.308,1.068,1.603,0.009,0.03739824945295405
Unspecified viral hepatitis C without hepatic coma,1.28,1.065,1.54,0.009,0.03739824945295405
"Other diseases of lung, not elsewhere classified",0.748,0.601,0.931,0.009,0.03739824945295405
Ileostomy status,0.63,0.445,0.89,0.009,0.03739824945295405
Malfunction of continent stoma of urinary tract,0.584,0.391,0.873,0.009,0.03739824945295405
Cervicalgia,0.573,0.379,0.868,0.009,0.03739824945295405
"Acquired absence of organ, lung",0.543,0.343,0.857,0.009,0.03739824945295405
Acquired absence of unspecified leg above knee,0.523,0.322,0.852,0.009,0.03739824945295405
Facial weakness following other cerebrovascular disease,0.501,0.299,0.839,0.009,0.03739824945295405
"Cannabis abuse, unspecified",0.471,0.268,0.827,0.009,0.03739824945295405
Atherosclerosis of other specified arteries,0.423,0.222,0.808,0.009,0.03739824945295405
"Leiomyoma of uterus, unspecified",0.359,0.166,0.777,0.009,0.03739824945295405
"Unspecified fracture of upper end of right humerus, initial encounter for closed fracture",0.302,0.123,0.742,0.009,0.03739824945295405
Intravenous anesthetics causing adverse effects in therapeutic use,0.28,0.108,0.727,0.009,0.03739824945295405
Long term (current) use of non-steroidal anti-inflammatories (NSAID),0.228,0.076,0.687,0.009,0.03739824945295405
"Neuralgia and neuritis, unspecified",0.202,0.061,0.675,0.009,0.03739824945295405
Closed fracture of lower end of radius with ulna,0.202,0.061,0.674,0.009,0.03739824945295405
Personal history of (corrected) congenital malformations of heart and circulatory system,4.163,1.41,12.293,0.01,0.041237785016286645
Coronary atherosclerosis of unspecified bypass graft,2.054,1.189,3.55,0.01,0.041237785016286645
Alzheimer's disease,1.559,1.114,2.183,0.01,0.041237785016286645
Hematoma complicating a procedure,1.411,1.087,1.831,0.01,0.041237785016286645
"Atrioventricular block, first degree",0.536,0.335,0.86,0.01,0.041237785016286645
Urinary frequency,0.509,0.303,0.853,0.01,0.041237785016286645
Encounter for attention to gastrostomy,0.447,0.242,0.824,0.01,0.041237785016286645
Spontaneous tension pneumothorax,6.144,1.51,24.997,0.011,0.04468235294117647
Other neutropenia,3.073,1.299,7.271,0.011,0.04468235294117647
"Malignant neoplasm of brain, unspecified",2.264,1.209,4.24,0.011,0.04468235294117647
"Traumatic hemorrhage of right cerebrum without loss of consciousness, initial encounter",2.01,1.17,3.455,0.011,0.04468235294117647
Functional dyspepsia,1.957,1.167,3.281,0.011,0.04468235294117647
Other giant cell arteritis,1.759,1.137,2.719,0.011,0.04468235294117647
"Dementia, unspecified, without behavioral disturbance",1.248,1.051,1.481,0.011,0.04468235294117647
Other specified cardiac arrhythmias,1.176,1.037,1.333,0.011,0.04468235294117647
Nausea alone,0.731,0.573,0.931,0.011,0.04468235294117647
Unspecified protein-calorie malnutrition,0.707,0.542,0.923,0.011,0.04468235294117647
Palpitations,0.414,0.209,0.817,0.011,0.04468235294117647
"Polycystic kidney, unspecified",0.392,0.19,0.806,0.011,0.04468235294117647
"Osteoarthrosis, localized, not specified whether primary or secondary, shoulder region",0.23,0.074,0.713,0.011,0.04468235294117647
Toxic multinodular goiter without mention of thyrotoxic crisis or storm,0.215,0.066,0.701,0.011,0.04468235294117647
"Effusion, left hip",5.921,1.48,23.677,0.012,0.047823714585519414
Other causes of encephalitis and encephalomyelitis,5.388,1.442,20.137,0.012,0.047823714585519414
Opiate antagonists causing adverse effects in therapeutic use,5.207,1.439,18.846,0.012,0.047823714585519414
Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction,3.082,1.279,7.426,0.012,0.047823714585519414
Neutropenia due to infection,2.488,1.226,5.049,0.012,0.047823714585519414
Aphasia,0.767,0.625,0.943,0.012,0.047823714585519414
Connective tissue and disc stenosis of intervertebral foramina of lumbar region,0.698,0.529,0.923,0.012,0.047823714585519414
"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease",0.56,0.357,0.878,0.012,0.047823714585519414
Family history of diabetes mellitus,0.492,0.283,0.855,0.012,0.047823714585519414
Peripheral vascular angioplasty status with implants and grafts,0.487,0.277,0.854,0.012,0.047823714585519414
Primary hyperparathyroidism,0.429,0.221,0.833,0.012,0.047823714585519414
"Unspecified fracture of head of left femur, initial encounter for closed fracture",0.414,0.209,0.824,0.012,0.047823714585519414
"Dysphagia, oral phase",0.384,0.182,0.81,0.012,0.047823714585519414
Cramp of limb,0.316,0.128,0.779,0.012,0.047823714585519414
Acute recurrent sialoadenitis,0.313,0.126,0.776,0.012,0.047823714585519414
"Urinary obstruction, not elsewhere classified",0.241,0.08,0.727,0.012,0.047823714585519414
"Miliaria, unspecified",0.18,0.047,0.683,0.012,0.047823714585519414
Other and unspecified general anesthetics causing adverse effects in therapeutic use,0.163,0.04,0.668,0.012,0.047823714585519414
Other paraproteinemias,2.801,1.247,6.293,0.013,0.05132432432432432
"Chondrocalcinosis, unspecified, site unspecified",2.463,1.214,4.998,0.013,0.05132432432432432
"Other acute and subacute forms of ischemic heart disease, other",1.306,1.057,1.614,0.013,0.05132432432432432
"Diverticulitis of intestine, part unspecified, with perforation and abscess without bleeding",0.644,0.455,0.911,0.013,0.05132432432432432
Eosinophilia,0.625,0.431,0.906,0.013,0.05132432432432432
"Sensorineural hearing loss, unspecified",0.381,0.178,0.814,0.013,0.05132432432432432
Other tracheostomy complication,0.374,0.171,0.815,0.013,0.05132432432432432
Other diseases of vocal cords,0.231,0.072,0.735,0.013,0.05132432432432432
Parastomal hernia without obstruction or gangrene,0.201,0.057,0.71,0.013,0.05132432432432432
"Pressure ulcer of unspecified ankle, unspecified stage",2.343,1.187,4.624,0.014,0.05481649484536082
"Malignant neoplasm of middle lobe, bronchus or lung",2.318,1.188,4.522,0.014,0.05481649484536082
"Cystitis, unspecified with hematuria",1.906,1.142,3.182,0.014,0.05481649484536082
Essential thrombocythemia,0.706,0.534,0.933,0.014,0.05481649484536082
Other premature depolarization,0.527,0.316,0.877,0.014,0.05481649484536082
Personal history of other diseases of digestive system,0.288,0.107,0.776,0.014,0.05481649484536082
"Food in esophagus causing compression of trachea, initial encounter",0.244,0.079,0.751,0.014,0.05481649484536082
Sequelae of unspecified infectious and parasitic disease,0.194,0.053,0.714,0.014,0.05481649484536082
"Unspecified B-cell lymphoma, intra-abdominal lymph nodes",2.765,1.22,6.268,0.015,0.057837563451776645
Cauda equina syndrome without mention of neurogenic bladder,2.538,1.195,5.39,0.015,0.057837563451776645
Venous embolism and thrombosis of superficial vessels of lower extremity,2.407,1.188,4.878,0.015,0.057837563451776645
"Interstitial pulmonary disease, unspecified",1.808,1.119,2.92,0.015,0.057837563451776645
"Digestive system complications, not elsewhere classified",1.537,1.086,2.176,0.015,0.057837563451776645
Unspecified abnormal involuntary movements,1.532,1.088,2.158,0.015,0.057837563451776645
Acquired absence of other genital organ(s),0.59,0.386,0.901,0.015,0.057837563451776645
"Vertebral artery compression syndromes, cervical region",0.504,0.29,0.876,0.015,0.057837563451776645
"Malignant neoplasm of colon, unspecified",0.456,0.242,0.86,0.015,0.057837563451776645
Chronic pain syndrome,0.398,0.19,0.836,0.015,0.057837563451776645
Pancreas replaced by transplant,0.38,0.175,0.828,0.015,0.057837563451776645
"Other generalized epilepsy and epileptic syndromes, not intractable, with status epilepticus",0.293,0.109,0.784,0.015,0.057837563451776645
Nonspecific (abnormal) findings on radiological and other examination of other intrathoracic organs,0.217,0.064,0.741,0.015,0.057837563451776645
Nonspecific abnormal results of function study of kidney,0.214,0.062,0.739,0.015,0.057837563451776645
Hydantoin derivatives causing adverse effects in therapeutic use,0.189,0.05,0.723,0.015,0.057837563451776645
Genetic susceptibility to other malignant neoplasm,4.646,1.325,16.292,0.016,0.0611963746223565
Bone marrow transplant rejection,2.131,1.151,3.944,0.016,0.0611963746223565
Other acute pain,1.724,1.105,2.69,0.016,0.0611963746223565
Barrett's esophagus with low grade dysplasia,0.706,0.531,0.937,0.016,0.0611963746223565
"Streptococcal sepsis, unspecified",0.638,0.443,0.92,0.016,0.0611963746223565
"Meningitis, unspecified",0.311,0.12,0.804,0.016,0.0611963746223565
"Cervical disc disorder with radiculopathy, high cervical region",0.295,0.11,0.794,0.016,0.0611963746223565
"Otitis media, unspecified, bilateral",0.244,0.077,0.769,0.016,0.0611963746223565
Generalized and unspecified atherosclerosis,5.151,1.345,19.736,0.017,0.06450149850149851
"Occupant (driver) (passenger) of pick-up truck or van injured in unspecified traffic accident, initial encounter",2.98,1.211,7.334,0.017,0.06450149850149851
Hypercalcemia,1.305,1.048,1.625,0.017,0.06450149850149851
"Hematuria, unspecified",0.744,0.584,0.948,0.017,0.06450149850149851
Family history of malignant neoplasm of breast,0.684,0.5,0.934,0.017,0.06450149850149851
"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with loss of consciousness of unspecified duration",0.473,0.255,0.877,0.017,0.06450149850149851
Other ovarian cysts,0.362,0.158,0.832,0.017,0.06450149850149851
Tinea pedis,0.285,0.102,0.796,0.017,0.06450149850149851
Flaccid hemiplegia and hemiparesis affecting nondominant side,3.094,1.218,7.861,0.018,0.06742011834319525
Pulmonary diseases due to other mycobacteria,2.659,1.182,5.982,0.018,0.06742011834319525
Non-pressure chronic ulcer of other part of unspecified lower leg limited to breakdown of skin,1.538,1.078,2.195,0.018,0.06742011834319525
Personal history of malignant neoplasm of other digestive organs,1.508,1.072,2.123,0.018,0.06742011834319525
"Abdominal aortic aneurysm, without rupture",0.782,0.637,0.959,0.018,0.06742011834319525
Monoclonal paraproteinemia,0.657,0.463,0.931,0.018,0.06742011834319525
Exocrine pancreatic insufficiency,0.637,0.438,0.926,0.018,0.06742011834319525
Unspecified mononeuropathy of left lower limb,0.547,0.332,0.901,0.018,0.06742011834319525
"Atherosclerosis of native arteries of extremities with rest pain, other extremity",0.476,0.257,0.882,0.018,0.06742011834319525
Gouty arthropathy,0.289,0.103,0.807,0.018,0.06742011834319525
"Acquired absence of organ, other parts of urinary tract",0.234,0.07,0.782,0.018,0.06742011834319525
"Blindness left eye category 5, normal vision right eye",0.232,0.069,0.776,0.018,0.06742011834319525
Surg complic-respir syst,0.215,0.06,0.77,0.018,0.06742011834319525
Acromegaly and gigantism,5.794,1.34,25.047,0.019,0.07060861056751468
Cardiomyopathy in other diseases classified elsewhere,1.96,1.115,3.445,0.019,0.07060861056751468
"Other postprocedural shock, initial encounter",1.934,1.113,3.36,0.019,0.07060861056751468
Pure hyperglyceridemia,1.721,1.094,2.707,0.019,0.07060861056751468
"Painful micturition, unspecified",0.495,0.274,0.892,0.019,0.07060861056751468
Laparoscopic surgical procedure converted to open procedure,0.457,0.237,0.88,0.019,0.07060861056751468
Renal osteodystrophy,0.26,0.084,0.799,0.019,0.07060861056751468
Other and unspecified nonspecific immunological findings,0.239,0.073,0.788,0.019,0.07060861056751468
Other acquired deformity of head,2.815,1.18,6.713,0.02,0.07403508771929825
"Body mass index (BMI) 40.0-44.9, adult",0.676,0.486,0.939,0.02,0.07403508771929825
"Nondisplaced fracture of lateral end of left clavicle, initial encounter for closed fracture",0.259,0.083,0.807,0.02,0.07403508771929825
Inflammatory disorders of breast,0.178,0.041,0.766,0.02,0.07403508771929825
"Chronic kidney disease, Stage I",0.236,0.069,0.808,0.021,0.07766114897760468
Drug induced fever,0.798,0.658,0.968,0.022,0.08104364694471387
Myocardial infarction type 2,0.703,0.521,0.95,0.022,0.08104364694471387
Incontinence of feces,0.31,0.114,0.846,0.022,0.08104364694471387
Hepatic sclerosis,0.301,0.107,0.843,0.022,0.08104364694471387
"Mycosis fungoides, extranodal and solid organ sites",2.378,1.127,5.017,0.023,0.0844
Pneumonia due to Klebsiella pneumoniae,1.978,1.101,3.555,0.023,0.0844
Bell's palsy,1.713,1.078,2.72,0.023,0.0844
"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled",0.371,0.158,0.871,0.023,0.0844
"Other otitis externa, bilateral",4.973,1.229,20.121,0.024,0.08781502890173411
"Other spondylosis, lumbosacral region",1.441,1.049,1.98,0.024,0.08781502890173411
"Cellulitis and abscess of hand, except fingers and thumb",0.346,0.137,0.872,0.024,0.08781502890173411
"Mitochondrial myopathy, not elsewhere classified",4.376,1.205,15.897,0.025,0.09094827586206897
"Paralysis of vocal cords and larynx, unspecified",2.495,1.122,5.551,0.025,0.09094827586206897
"Unspecified procedure as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",1.704,1.071,2.713,0.025,0.09094827586206897
"Pneumothorax, unspecified",1.653,1.065,2.564,0.025,0.09094827586206897
Unspecified inflammatory and toxic neuropathy,1.342,1.038,1.734,0.025,0.09094827586206897
"Accidental cut, puncture, perforation or hemorrhage during other specified medical care",0.414,0.191,0.897,0.025,0.09094827586206897
Personal history of poliomyelitis,2.331,1.105,4.914,0.026,0.09386692015209125
"Methicillin resistant Staphylococcus aureus infection, unspecified site",1.35,1.037,1.758,0.026,0.09386692015209125
"Malignant neoplasm of upper lobe, right bronchus or lung",0.742,0.571,0.965,0.026,0.09386692015209125
Secondary malignant neoplasm of mediastinum,0.543,0.317,0.928,0.026,0.09386692015209125
"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes",0.292,0.099,0.862,0.026,0.09386692015209125
NIHSS score 0,0.274,0.088,0.857,0.026,0.09386692015209125
Cutaneous abscess of neck,0.234,0.065,0.844,0.026,0.09386692015209125
"Visual field defect, unspecified",0.231,0.064,0.836,0.026,0.09386692015209125
Pneumonia due to escherichia coli [E. coli],2.206,1.095,4.444,0.027,0.0968328611898017
Other specified phobia,2.152,1.093,4.237,0.027,0.0968328611898017
"Nondisplaced oblique fracture of shaft of right femur, initial encounter for closed fracture",1.886,1.073,3.315,0.027,0.0968328611898017
Unspecified disease of pericardium,0.729,0.551,0.966,0.027,0.0968328611898017
Localized skin eruption due to drugs and medicaments taken internally,0.72,0.539,0.963,0.027,0.0968328611898017
"Benign neoplasm of meninges, unspecified",0.66,0.457,0.954,0.027,0.0968328611898017
"Trimalleolar fracture, closed",0.259,0.078,0.859,0.027,0.0968328611898017
Malignant neoplasm of other specified sites of stomach,2.364,1.095,5.105,0.028,0.10013559322033898
Other allergic rhinitis,0.303,0.105,0.877,0.028,0.10013559322033898
Legionnaires' disease,0.269,0.084,0.865,0.028,0.10013559322033898
"Osteoarthrosis, localized, not specified whether primary or secondary, hand",3.131,1.121,8.741,0.029,0.10303274087932648
"Acute osteomyelitis, other specified sites",2.226,1.085,4.564,0.029,0.10303274087932648
"Body Mass Index 35.0-35.9, adult",1.646,1.052,2.575,0.029,0.10303274087932648
Malignant neoplasm of intrahepatic bile ducts,1.526,1.044,2.231,0.029,0.10303274087932648
Sepsis due to Pseudomonas,0.499,0.267,0.932,0.029,0.10303274087932648
Wegener's granulomatosis with renal involvement,0.373,0.154,0.906,0.029,0.10303274087932648
